X,Y,Z,RX,RY,RZ
-451.685,-160.195,687.761,-179.997,-0.002,-77.687
-448.725,-167.656,687.882,-179.998,-0.002,-74.548
-448.725,-167.656,687.882,-179.998,-0.002,-74.548
-446.691,-172.586,687.957,-179.998,-0.002,-72.47
-446.691,-172.586,687.957,-179.998,-0.002,-72.47
-446.691,-172.586,687.957,-179.998,-0.002,-72.47
-443.516,-179.97,688.075,-179.997,-0.002,-69.33
-443.516,-179.97,688.075,-179.997,-0.002,-69.33
-441.376,-184.765,688.153,-179.998,-0.002,-67.276
-441.376,-184.765,688.153,-179.998,-0.002,-67.276
-441.376,-184.765,688.153,-179.998,-0.002,-67.276
-438.012,-192.038,688.278,-179.998,-0.002,-64.18
-435.707,-196.843,688.356,-179.998,-0.002,-62.057
-435.707,-196.843,688.356,-179.998,-0.002,-62.057
-435.707,-196.843,688.356,-179.998,-0.002,-62.057
-432.239,-203.831,688.462,-179.997,-0.003,-59.002
-429.744,-208.686,688.546,-179.997,-0.003,-56.863
-429.744,-208.686,688.546,-179.997,-0.003,-56.863
-429.744,-208.686,688.546,-179.997,-0.003,-56.863
-426.089,-215.564,688.657,-179.998,-0.003,-53.794
-426.089,-215.564,688.657,-179.998,-0.003,-53.794
-422.201,-222.588,688.774,-179.998,-0.003,-50.656
-422.201,-222.588,688.774,-179.998,-0.003,-50.656
-422.201,-222.588,688.774,-179.998,-0.003,-50.656
-419.575,-227.181,688.85,-179.998,-0.003,-48.593
-419.575,-227.181,688.85,-179.998,-0.003,-48.593
-415.53,-234.032,688.974,-179.999,-0.002,-45.517
-415.53,-234.032,688.974,-179.999,-0.002,-45.517
-415.53,-234.032,688.974,-179.999,-0.002,-45.517
-412.822,-238.477,689.049,-180.0,-0.002,-43.42
-412.822,-238.477,689.049,-180.0,-0.002,-43.42
-412.822,-238.477,689.049,-180.0,-0.002,-43.42
-408.727,-245.002,689.151,-179.998,-0.003,-40.423
-408.727,-245.002,689.151,-179.998,-0.003,-40.423
-408.727,-245.002,689.151,-179.998,-0.003,-40.423
-405.854,-249.443,689.229,-179.999,-0.003,-38.403
-405.854,-249.443,689.229,-179.999,-0.003,-38.403
-405.854,-249.443,689.229,-179.999,-0.003,-38.403
-401.736,-255.629,689.335,-179.998,-0.003,-35.434
-401.736,-255.629,689.335,-179.998,-0.003,-35.434
-398.911,-259.754,689.405,-179.998,-0.003,-33.479
-398.911,-259.754,689.405,-179.998,-0.003,-33.479
-398.911,-259.754,689.405,-179.998,-0.003,-33.479
-394.659,-265.79,689.509,-179.998,-0.003,-30.591
-394.659,-265.79,689.509,-179.998,-0.003,-30.591
-394.659,-265.79,689.509,-179.998,-0.003,-30.591
-390.443,-271.588,689.612,-179.999,-0.003,-27.779
-390.443,-271.588,689.612,-179.999,-0.003,-27.779
-387.695,-275.271,689.677,-179.999,-0.003,-25.982
-387.695,-275.271,689.677,-179.999,-0.003,-25.982
-387.695,-275.271,689.677,-179.999,-0.003,-25.982
-383.605,-280.613,689.766,-179.998,-0.003,-23.349
-383.605,-280.613,689.766,-179.998,-0.003,-23.349
-380.787,-284.207,689.827,-179.998,-0.004,-21.56
-380.787,-284.207,689.827,-179.998,-0.004,-21.56
-376.818,-289.155,689.914,-179.998,-0.004,-19.073
-376.818,-289.155,689.914,-179.998,-0.004,-19.073
-374.148,-292.41,689.976,-179.998,-0.004,-17.421
-374.148,-292.41,689.976,-179.998,-0.004,-17.421
-370.156,-297.17,690.061,-179.998,-0.004,-14.989
-370.156,-297.17,690.061,-179.998,-0.004,-14.989
-367.573,-300.181,690.116,-179.998,-0.004,-13.434
-367.573,-300.181,690.116,-179.998,-0.004,-13.434
-367.573,-300.181,690.116,-179.998,-0.004,-13.434
-363.689,-304.608,690.201,-179.999,-0.003,-11.127
-363.689,-304.608,690.201,-179.999,-0.003,-11.127
-361.189,-307.402,690.255,-180.0,-0.003,-9.645
-361.189,-307.402,690.255,-180.0,-0.003,-9.645
-361.189,-307.402,690.255,-180.0,-0.003,-9.645
-357.445,-311.506,690.339,180.0,-0.003,-7.462
-357.445,-311.506,690.339,180.0,-0.003,-7.462
-353.845,-315.365,690.413,179.999,-0.002,-5.409
-353.845,-315.365,690.413,179.999,-0.002,-5.409
-351.466,-317.878,690.44,179.999,-0.001,-4.055
-351.466,-317.878,690.44,179.999,-0.001,-4.055
-351.466,-317.878,690.44,179.999,-0.001,-4.055
-351.466,-317.878,690.44,179.999,-0.001,-4.055
-347.848,-321.652,690.428,179.998,-0.001,-2.051
-347.848,-321.652,690.428,179.998,-0.001,-2.051
-347.848,-321.652,690.428,179.998,-0.001,-2.051
