X,Y,Z,RX,RY,RZ
-81.731,-486.085,562.956,179.623,1.06,43.533
-78.23,-486.769,560.628,179.611,1.077,43.683
-74.721,-487.416,558.3,179.599,1.093,43.824
-71.206,-488.028,555.972,179.587,1.11,43.956
-67.684,-488.604,553.645,179.574,1.127,44.08
-64.156,-489.145,551.318,179.561,1.143,44.194
-60.623,-489.649,548.991,179.548,1.159,44.299
-57.084,-490.118,546.665,179.534,1.175,44.395
-53.541,-490.55,544.339,179.519,1.191,44.483
-49.993,-490.947,542.013,179.505,1.206,44.561
-46.442,-491.308,539.689,179.49,1.222,44.63
-42.886,-491.632,537.365,179.474,1.237,44.691
-39.328,-491.92,535.041,179.458,1.252,44.742
-35.767,-492.172,532.719,179.442,1.266,44.785
-32.204,-492.388,530.397,179.425,1.281,44.819
-28.639,-492.568,528.076,179.408,1.295,44.843
-25.072,-492.711,525.756,179.391,1.309,44.859
-21.505,-492.818,523.437,179.372,1.322,44.866
-17.949,-492.888,521.118,179.354,1.335,44.868
-14.444,-492.921,518.801,179.336,1.348,44.871
-11.018,-492.917,516.485,179.317,1.361,44.873
-7.669,-492.877,514.17,179.299,1.374,44.876
-4.398,-492.803,511.856,179.28,1.387,44.878
-1.206,-492.698,509.543,179.262,1.4,44.881
1.907,-492.561,507.232,179.243,1.413,44.884
4.94,-492.395,504.922,179.225,1.425,44.886
7.894,-492.201,502.613,179.207,1.438,44.889
10.769,-491.981,500.306,179.188,1.45,44.892
13.564,-491.736,498.0,179.17,1.463,44.895
16.279,-491.467,495.695,179.152,1.475,44.898
18.913,-491.175,493.392,179.134,1.488,44.901
21.468,-490.863,491.091,179.115,1.5,44.904
23.942,-490.531,488.791,179.097,1.512,44.907
26.336,-490.18,486.493,179.079,1.525,44.91
28.649,-489.801,484.196,179.064,1.535,44.914
30.88,-489.383,481.9,179.055,1.54,44.917
33.028,-488.924,479.606,179.053,1.539,44.921
35.094,-488.432,477.329,179.056,1.533,44.924
37.079,-487.931,475.111,179.062,1.526,44.928
38.984,-487.434,472.976,179.067,1.52,44.932
40.81,-486.942,470.922,179.074,1.513,44.935
42.558,-486.458,468.95,179.08,1.507,44.939
44.226,-485.984,467.059,179.087,1.501,44.942
45.817,-485.52,465.25,179.094,1.495,44.946
47.33,-485.069,463.522,179.101,1.49,44.949
48.765,-484.633,461.876,179.108,1.484,44.953
50.123,-484.212,460.31,179.116,1.479,44.956
51.405,-483.808,458.825,179.124,1.474,44.959
52.61,-483.422,457.42,179.132,1.469,44.962
53.74,-483.056,456.096,179.141,1.465,44.965
54.794,-482.711,454.853,179.15,1.46,44.968
55.772,-482.388,453.69,179.159,1.456,44.971
56.676,-482.087,452.606,179.168,1.452,44.974
57.505,-481.81,451.603,179.178,1.448,44.977
58.259,-481.558,450.68,179.187,1.445,44.98
58.94,-481.331,449.837,179.197,1.441,44.982
59.546,-481.13,449.073,179.208,1.438,44.985
60.079,-480.955,448.389,179.218,1.435,44.988
60.538,-480.809,447.785,179.229,1.432,44.99
60.924,-480.689,447.26,179.24,1.429,44.992
61.236,-480.598,446.814,179.251,1.426,44.994
61.476,-480.536,446.448,179.263,1.424,44.997
61.642,-480.502,446.161,179.274,1.422,44.999
61.735,-480.494,445.964,179.285,1.42,45.0
61.763,-480.495,445.89,179.29,1.42,45.001
